#CODE;I love me some nice silky silk;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
silkroad.304.desc;This year's Nowruz has been nothing short of exciting and fun, but alas, all good things come to an end. The world begins to calm and settle down, and you return to your normal routine.;;;;;;;;;;;;;x
silkroad.304.a;May this year be a good one.;;;;;;;;;;;;;x
silkroad.305.desc;As part of the Nowruz celebrations, you exchange presents - usually sugar - with your friends and loved ones.;;;;;;;;;;;;;x
silkroad.305.a;This year I spent a lot of money on these presents!;;;;;;;;;;;;;x
silkroad.305.b;This year I spent enough money for these presents.;;;;;;;;;;;;;x
silkroad.305.c;This year I could only afford a little bit of money for these presents.;;;;;;;;;;;;;x
opinion_nowruz_present_large;Great Nowruz Present;;;;;;;;;;;;;x
opinion_nowruz_present_medium;Good Nowruz Present;;;;;;;;;;;;;x
opinion_nowruz_present_small;Acceptable Nowruz Present;;;;;;;;;;;;;x
VIET_celebrating_nowruz;Celebrating Nowruz;;;;;;;;;;;;;x
VIET_celebrated_nowruz;Celebrated Nowruz;;;;;;;;;;;;;x
silkroad.306.desc;The most popular day of Nowruz is the so-called "Water-pouring Day" for it is a day of happiness and friendship amongst all. You and your household sprinkle rosewater on relatives and guests. You even sprinkle on those who pass by your residence.;;;;;;;;;;;;;x
silkroad.306.a;Everyone and everything smells so pleasant.;;;;;;;;;;;;;x
silkroad.307.desc;Egg-dying is an important and popular activity during Nowruz. Even you, despite your high rank, decide to partake in this activity.;;;;;;;;;;;;;x
silkroad.307.a;What color of paint should I choose first...;;;;;;;;;;;;;x
silkroad.308.desc;You watch as fires are kindled everywhere in the surrounding villages and towns during the Nowruz celebrations. May joy and hope spread everywhere! The fires are meant to symbolize the most amazing acts of creation being re-enacted on a smaller scale.;;;;;;;;;;;;;x
silkroad.308.a;Amazing, yes.;;;;;;;;;;;;;x
silkroad.308.b;How blasphemous! Muslims shouldn't be doing this!;;;;;;;;;;;;;x
silkroad.309.desc;Wine! Nowruz is the perfect time to intoxicate oneself with the finest wines, for is it not a joyous celebration?;;;;;;;;;;;;;x
silkroad.309.a;I drink as much as I need to.;;;;;;;;;;;;;x
silkroad.309.b;I shall drink a lot! Let's be merry!;;;;;;;;;;;;;x
silkroad.309.c;Muslims shouldn't drink! Do we ignore religion just because we celebrate?;;;;;;;;;;;;;x
silkroad.312.name;Mir-e Nowruzi;;;;;;;;;;;;;x
silkroad.312.desc;Haha! [From.GetTitledFirstName] has been crowned the "Mir-e Nowruzi" or Nowruzian Ruler. As a fake king, he has been given an entire fake throne, officials, and soldiers. Unfortunately, [From.GetTitledFirstName] can now do as he wishes, being the Mir-e Nowruzi. Thankfully his "reign" will only last a few days.;;;;;;;;;;;;;x
silkroad.312.a;We'll see how this goes.;;;;;;;;;;;;;x
silkroad.313.tooltip;Hopefully I won't be forced to do anything stupid.;;;;;;;;;;;;;x
silkroad.314.desc;Dammit! [From.GetTitledFirstName] definitely is enjoying his powers as the Mir-e Nowruzi. He has made me do some very embarrassing things. Things so embarrassing I want to curl up in a ball and die every time I think about them.;;;;;;;;;;;;;x
silkroad.314.a;You'll pay for this!;;;;;;;;;;;;;x
silkroad.315.desc;[From.GetTitledFirstName]'s reign as the Mir-e Nowruzi has come to an end. Now, everyone has to rid him of the throne, beat him, and force him to flee the building. Won't this be fun?;;;;;;;;;;;;;x
silkroad.315.a;Yes! Quite fun! Violence is quite fun!;;;;;;;;;;;;;x
silkroad.315.b;I feel sorry for the poor fellow!;;;;;;;;;;;;;x
opinion_nowruz_no_sympathy_for_me;Felt no sympathy for me;;;;;;;;;;;;;x
opinion_nowruz_sympathy_for_me;Felt sympathy for me;;;;;;;;;;;;;x
celebrate_nowruz;Celebrate Nowruz;;;;;;;;;;;;;x
celebrate_nowruz_desc;The new year is upon us! Let us celebrate in the traditional Iranian fashion.;;;;;;;;;;;;;x
